Robert Lewandowski;9;1988;01/07/2014;4050;50;19845280
Serge Gnabry;7;1995;01/07/2017;2825;17;6936800
Leroy Sane;10;1996;02/07/2020;3040;14;16889600
Thomas Muller;25;1989;01/07/2000;3563;13;17854720
Eric Maxim Choupo-Moting;13;1989;05/10/2020;723;10;3498560
Jamal Musiala;42;2003;04/07/2019;2028;8;4946240
Kingsley Coman;11;1996;30/08/2015;2092;8;7962240
Joshua Kimmich;6;1995;01/07/2015;3404;3;17854720
Leon Goretzka;8;1995;01/07/2018;2070;3;11883040
Corentin Tolisso;24;1994;01/07/2017;1071;3;6936800
Tanguy Nianzou;23;2002;01/07/2020;1087;2;3800160
Dayot Upamecano;2;1998;05/07/2021;3226;1;7962240
Niklas Sule;4;1995;01/07/2017;2519;1;2895360
Marcel Sabitzer;18;1994;38/08/2021;1029;1;6936800
Josip Stanisic;44;2000;17/01/2017;989;1;307632
Manuel Neuer;1;1986;01/07/2011;3501;0;17854720
Lucas Hernandez;21;1996;01/07/2019;2700;0;11883040
Benjamin Pavard;5;1996;01/07/2019;2979;0;6936800
Alphonso Davies;19;2000;01/01/2019;2366;0;5127200
Omar Richards;3;1998;01/07/2021;790;0;1990560
Marc Roca;22;1996;04/10/2020;519;0;2774720
Sven Ulreich;26;1988;01/07/2021;945;0;2352480
Bouna Sarr;20;1992;05/10/2020;490;1;4162080
Christian Fruchtl;36;2000;01/07/2014;9;0;446368
Michaël Cuisance;17;1999;18/08/2019;269;1;307632
